id_dep,nome,partido,uf,Cobrança de cursos em universidades públicas,Coincidência reeleição,Cota para mulheres legislativo,Distritao,Financiamento privado para partidos,Financiamento privado para partidos e candidatos,Infaticídio indígena,Lei trabalhista,Maioridade 1,Maioridade 2,Pensão,Reeleição,Seguro Desemprego,Tempo Mandato,Terceirização,Terceirização total 2017,Terrorismo,Transgênico,Tributação serviços de internet,Voto Facultativo,Voto impresso,Impeachment,Prosseguimento da denúncia contra Temer
178957,Abel Mesquita Jr.,dem,RR,não,sim,sim,não,sim,sim,sim,sim,não,sim,não,sim,não,sim,sim,sim,não votou,sim,não,não,sim,sim,não
73579,Alberto Fraga,dem,DF,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,não,não,sim,sim,sim,sim,sim,não,sim,sim,não
160545,Alexandre Leite,dem,SP,sim,sim,abstenção,sim,sim,sim,sim,sim,sim,sim,não,sim,não,sim,sim,sim,não,sim,não votou,sim,sim,sim,abstenção
74651,Carlos Melles,dem,MG,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,não votou,não,sim,não,sim,sim,sim,sim,não votou,sim,sim,sim,não
74537,Claudio Cajado,dem,BA,não votou,não votou,não votou,sim,sim,sim,não votou,sim,sim,sim,sim,sim,sim,não votou,não votou,sim,sim,sim,não votou,sim,não votou,sim,não
141422,Efraim Filho,dem,PB,sim,sim,sim,sim,sim,sim,não votou,sim,sim,sim,não,não,não,não,sim,-,não votou,sim,sim,sim,sim,sim,não
160532,Eli Corrêa Filho,dem,SP,não votou,não votou,sim,não votou,sim,não votou,sim,sim,sim,sim,não,sim,não,não,sim,não,sim,sim,não votou,sim,sim,sim,não
178854,Elmar Nascimento,dem,BA,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,não,sim,sim,não,sim,sim,sim,sim,sim,não
141429,Felipe Maia,dem,RN,sim,sim,abstenção,sim,sim,sim,sim,sim,sim,sim,não,sim,não,não,sim,sim,não votou,sim,sim,sim,sim,sim,não
160677,Francisco Floriano,dem,RJ,não,sim,abstenção,não,sim,sim,sim,sim,sim,não votou,sim,sim,sim,sim,sim,não,sim,sim,sim,não,sim,sim,não
178909,Hélio Leite,dem,PA,sim,não,não,não,sim,sim,sim,sim,sim,sim,não,não,não,não,sim,sim,sim,sim,sim,sim,não votou,sim,não
73535,Jorge Tadeu Mudalen,dem,SP,sim,não,abstenção,sim,sim,não,sim,sim,sim,sim,não,sim,não,não,sim,sim,sim,sim,sim,sim,sim,sim,não
74553,José Carlos Aleluia,dem,BA,sim,não,não votou,não,sim,sim,não,sim,sim,sim,sim,não,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,não
178886,Juscelino Filho,dem,MA,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,não,sim,não
160633,Mandetta,dem,MS,sim,sim,sim,não,sim,não,sim,sim,não,sim,não,sim,não,não,sim,não,sim,sim,sim,sim,sim,sim,sim
160660,Marcelo Aguiar,dem,SP,sim,não,abstenção,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,não,não,sim,sim,sim,sim,não votou,não
167722,Marcos Rogério,dem,RO,não,não,abstenção,abstenção,não,não,sim,sim,sim,sim,não,sim,não,sim,não,não,não votou,sim,não votou,sim,sim,sim,sim
178943,Marcos Soares,dem,RJ,sim,sim,não,não votou,não votou,não votou,sim,sim,sim,sim,sim,sim,não,sim,não votou,abstenção,não votou,abstenção,não votou,sim,sim,sim,não
