id_dep,nome,partido,uf,Cobrança de cursos em universidades públicas,Coincidência reeleição,Cota para mulheres legislativo,Distritao,Financiamento privado para partidos,Financiamento privado para partidos e candidatos,Infaticídio indígena,Lei trabalhista,Maioridade 1,Maioridade 2,Pensão,Reeleição,Seguro Desemprego,Tempo Mandato,Terceirização,Terceirização total 2017,Terrorismo,Transgênico,Tributação serviços de internet,Voto Facultativo,Voto impresso,Impeachment,Prosseguimento da denúncia contra Temer,Prosseguimento da 2ª denúncia contra Temer
178957,Abel Mesquita Jr.,dem,RR,não,sim,sim,não,sim,sim,sim,sim,não,sim,não,sim,não,sim,sim,sim,não votou,sim,não,não,sim,sim,não,não
73579,Alberto Fraga,dem,DF,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,não,não,sim,sim,sim,sim,sim,não,sim,sim,não,sim
160545,Alexandre Leite,dem,SP,sim,sim,abstenção,sim,sim,sim,sim,sim,sim,sim,não,sim,não,sim,sim,sim,não,sim,não votou,sim,sim,sim,abstenção,abstenção
74651,Carlos Melles,dem,MG,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,não votou,não,sim,não,sim,sim,sim,sim,não votou,sim,sim,sim,não,sim
74537,Claudio Cajado,dem,BA,não votou,não votou,não votou,sim,sim,sim,não votou,sim,sim,sim,sim,sim,sim,não votou,não votou,sim,sim,sim,não votou,sim,não votou,sim,não,sim
141422,Efraim Filho,dem,PB,sim,sim,sim,sim,sim,sim,não votou,sim,sim,sim,não,não,não,não,sim,-,não votou,sim,sim,sim,sim,sim,não,sim
160532,Eli Corrêa Filho,dem,SP,não votou,não votou,sim,não votou,sim,não votou,sim,sim,sim,sim,não,sim,não,não,sim,não,sim,sim,não votou,sim,sim,sim,não,sim
178854,Elmar Nascimento,dem,BA,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,não,sim,sim,não,sim,sim,sim,sim,sim,não,sim
141429,Felipe Maia,dem,RN,sim,sim,abstenção,sim,sim,sim,sim,sim,sim,sim,não,sim,não,não,sim,sim,não votou,sim,sim,sim,sim,sim,não,sim
160677,Francisco Floriano,dem,RJ,não,sim,abstenção,não,sim,sim,sim,sim,sim,não votou,sim,sim,sim,sim,sim,não,sim,sim,sim,não,sim,sim,não,sim
178909,Hélio Leite,dem,PA,sim,não,não,não,sim,sim,sim,sim,sim,sim,não,não,não,não,sim,sim,sim,sim,sim,sim,não votou,sim,não,sim
73535,Jorge Tadeu Mudalen,dem,SP,sim,não,abstenção,sim,sim,não,sim,sim,sim,sim,não,sim,não,não,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
74553,José Carlos Aleluia,dem,BA,sim,não,não votou,não,sim,sim,não,sim,sim,sim,sim,não,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
178886,Juscelino Filho,dem,MA,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,não,sim,não,sim
160633,Mandetta,dem,MS,sim,sim,sim,não,sim,não,sim,sim,não,sim,não,sim,não,não,sim,não,sim,sim,sim,sim,sim,sim,sim,não
160660,Marcelo Aguiar,dem,SP,sim,não,abstenção,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,não,não,sim,sim,sim,sim,não votou,não,sim
167722,Marcos Rogério,dem,RO,não,não,abstenção,abstenção,não,não,sim,sim,sim,sim,não,sim,não,sim,não,não,não votou,sim,não votou,sim,sim,sim,sim,não
178943,Marcos Soares,dem,RJ,sim,sim,não,não votou,não votou,não votou,sim,sim,sim,sim,sim,sim,não,sim,não votou,abstenção,não votou,abstenção,não votou,sim,sim,sim,não,não votou
74428,Mendonça Filho,dem,PE,sim,não,não votou,sim,sim,sim,sim,sim,sim,sim,não,não,não,não,não votou,não votou,não votou,sim,sim,sim,sim,sim,não,sim
178895,Misael Varella,dem,MG,sim,sim,não,sim,sim,não,sim,sim,sim,sim,não votou,sim,sim,sim,sim,abstenção,sim,sim,sim,sim,sim,sim,não,sim
160561,Missionário José Olimpio,dem,SP,sim,sim,abstenção,sim,sim,não,sim,sim,sim,sim,não,sim,não,sim,sim,não,sim,sim,sim,sim,sim,sim,não,sim
74457,Moroni Torgan,dem,CE,sim,não,sim,sim,sim,não,sim,não votou,sim,sim,não,sim,não,não,não,não votou,não votou,sim,não,sim,sim,sim,não votou,não votou
66179,Norma Ayub,dem,ES,não votou,não votou,não votou,não votou,não votou,não votou,não votou,sim,não votou,não votou,não votou,não votou,não votou,não votou,não votou,-,não votou,não votou,não votou,não votou,não votou,não votou,sim,não
74399,Onyx Lorenzoni,dem,RS,não votou,não,não,não votou,não votou,não votou,não votou,sim,sim,sim,não votou,não votou,não,não,sim,-,não votou,sim,não votou,sim,sim,sim,sim,não
180545,Osmar Bertoldi,dem,PR,não votou,não votou,não votou,não votou,não votou,não votou,não votou,sim,não votou,não votou,não,não votou,não,não votou,sim,sim,não votou,sim,não votou,não votou,não votou,não votou,não,sim
74095,Pauderney Avelino,dem,AM,não votou,não,abstenção,sim,sim,sim,não votou,sim,sim,sim,não,sim,não,não,sim,sim,não votou,sim,não votou,sim,sim,sim,não,sim
178860,Paulo Azi,dem,BA,sim,não,abstenção,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,sim,sim,sim,não,sim,sim,sim,sim,sim,não,sim
160639,Professora Dorinha Seabra Rezende,dem,TO,sim,sim,sim,não,sim,não,sim,sim,não,não,não,sim,não,sim,não,não,sim,sim,não votou,sim,sim,sim,não,sim
74693,Rodrigo Maia,dem,RJ,sim,não,abstenção,sim,sim,sim,sim,art. 17,sim,sim,sim,sim,sim,não,sim,art. 17,não votou,sim,sim,sim,sim,sim,não votou,não votou
178947,Sóstenes Cavalcante,dem,RJ,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,não,sim,não,-,não,sim,sim,sim,sim,sim,sim,não
195866,Vaidon Oliveira,dem,CE,não votou,não votou,não votou,não votou,não votou,não votou,não votou,sim,não votou,não votou,não votou,não votou,não votou,não votou,não votou,sim,não votou,não votou,não votou,não votou,não votou,não votou,não,sim
74057,Alice Portugal,pcdob,BA,não,não,sim,sim,não,não,não votou,não,não,não votou,não votou,sim,sim,não,não,não,sim,não,não,não,sim,não,sim,não
160581,Assis Melo,pcdob,RS,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou
141440,Chico Lopes,pcdob,CE,não,não,sim,sim,não,não,não,não,não,não,sim,sim,sim,não,não,não,sim,não,não,não,sim,não,sim,não
74060,Daniel Almeida,pcdob,BA,não,não,sim,sim,não,não,não,-,não,não,sim,sim,sim,não,não,não,sim,não,não,não,sim,não,sim,não
101309,Davidson Magalhães,pcdob,BA,não,não,sim,sim,não,não,não,não,não,não,sim,sim,sim,não,não,não,sim,não,não,não,sim,não,não votou,não
74848,Jandira Feghali,pcdob,RJ,não,não,sim,sim,não,não,não,não,não,não,sim,sim,sim,não,não,não,sim,não,não,não,sim,não,sim,não
141503,Jô Moraes,pcdob,MG,não,não,não votou,sim,não,não,não,não,não,não,sim,sim,sim,não,não,não,sim,não,não votou,não,não votou,não,sim,não
160628,Luciana Santos,pcdob,PE,não,não,sim,sim,não,não,não,não,não,não,sim,sim,sim,não,não,não,sim,não,não votou,não,sim,não,sim,não
195278,Moisés Diniz,pcdob,AC,não votou,não votou,não votou,não votou,não votou,não votou,não votou,-,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não,não votou,não votou,não votou,não votou,não votou,não votou,sim,não
178987,Orlando Silva,pcdob,SP,não,não,sim,sim,não,não,não,não,não,não,sim,sim,sim,não,não,não,sim,não,não,não,sim,não,sim,não
