ideCadastro	condicao	matricula	idParlamentar	nome	nomeParlamentar	urlFoto	sexo	uf	partido	gabinete	fone	email	none
191684	Suplente	554	5830846	ROSANGELA APARECIDA DA SILVA BARROS	ROSÂNGELA CURADO	http://www.camara.gov.br/internet/deputado/bandep/191684.jpg	feminino	MA	PDT	405	3215-5405	dep.rosangelacurado@camara.gov.br	
191923	Suplente	556	5830848	FLAVIO RODRIGUES NOGUEIRA	FLAVIO NOGUEIRA	http://www.camara.gov.br/internet/deputado/bandep/191923.jpg	masculino	PI	PDT	811	3215-5811	dep.flavionogueira@camara.gov.br	
74103	Suplente	555	5830847	FRANCISCO ARIOSTO HOLANDA	ARIOSTO HOLANDA	http://www.camara.gov.br/internet/deputado/bandep/74103.jpg	masculino	CE	PROS	940	3215-5940	dep.ariostoholanda@camara.gov.br	
191945	Suplente	557	5830849	JOSÉ AUGUSTO NALIN	ZÉ AUGUSTO NALIN	http://www.camara.gov.br/internet/deputado/bandep/191945.jpg	masculino	RJ	PMDB	475	3215-5475	dep.zeaugustonalin@camara.gov.br	
141517	Suplente	560	5830852	PAULO HENRIQUE ELLERY LUSTOSA DA COSTA	PAULO HENRIQUE LUSTOSA	http://www.camara.gov.br/internet/deputado/bandep/141517.jpg	masculino	CE	PP	335	3215-5335	dep.paulohenriquelustosa@camara.gov.br	
74856	Suplente	558	5830850	MARIA LAURA MONTEZA DE SOUZA CARNEIRO	LAURA CARNEIRO	http://www.camara.gov.br/internet/deputado/bandep/74856.jpg	feminino	RJ	PMDB	437	3215-5437	dep.lauracarneiro@camara.gov.br	
192120	Suplente	559	5830851	ANGELA ALBINO	ANGELA ALBINO	http://www.camara.gov.br/internet/deputado/bandep/192120.jpg	feminino	SC	PCdoB	609	3215-5609	dep.angelaalbino@camara.gov.br	
178980	Titular	361	5830382	ANTONIO GOULART DOS REIS	GOULART	http://www.camara.gov.br/internet/deputado/bandep/178980.jpg	masculino	SP	PSD	533	3215-5533	dep.goulart@camara.gov.br	
141335	Titular	19	5830714	JOSÉ ROBERTO OLIVEIRA FARO	BETO FARO	http://www.camara.gov.br/internet/deputado/bandep/141335.jpg	masculino	PA	PT	723	3215-5723	dep.betofaro@camara.gov.br	
141531	Titular	268	5830453	RODRIGO BATISTA DE CASTRO	RODRIGO DE CASTRO	http://www.camara.gov.br/internet/deputado/bandep/141531.jpg	masculino	MG	PSDB	701	3215-5701	dep.rodrigodecastro@camara.gov.br	
